"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC_Part_No","Manufacturer","Manufacturer_Part_No"
"C1,C2","2","47uF 16v","","","","Capacitor_SMD:CP_Elec_6.3x5.9","https://www.lcsc.com/datasheet/C311666.pdf","C311666","Lelon","OVK470M1ETR-0606"
"C3,C4,C5,C6","4","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.lcsc.com/datasheet/C49678.pdf","C49678","YAGEO","CC0805KRX7R9BB104"
"D1,D2","2","20V","","","","Diode_SMD:D_SOD-323F","https://www.lcsc.com/datasheet/C114696.pdf","C114696","Nexperia","BAT46WJ,115"
"D3,D4","2","Red","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.lcsc.com/datasheet/C19171391.pdf","C19171391","YONGYUTAI","YLED0805R"
"D5,D6","2","Signal","","","","Diode_SMD:D_SOD-123","https://www.lcsc.com/datasheet/C82544.pdf","C82544","DIODES","1N5819HW-7-F"
"J1","1","Power Connector","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","https://www.lcsc.com/datasheet/C573025.pdf","C573025","TE Connectivity","1761681-3"
"J2,J3,J4,J5,J6,J7","6","CLIP OUT,IN1,IN2,IN3,INV OUT,OUT","","Excluded from BOM","","EurorackFootprints:Jack_3.5mm_WQP-PJ398SM_Vertical_Tight","","","",""
"R1,R2,R9,R10,R11","5","1K,1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17513","UNI-ROYAL","0805W8F1001T5E"
"R3,R4,R5,R6,R7,R8,R12,R15","8","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C149504","UNI-ROYAL","0805W8F1003T5E"
"R13","1","27k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17593","UNI-ROYAL","0805W8F2702T5E"
"RV1,RV2,RV3","3","100k","","Excluded from BOM","","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~","","",""
"RV4","1","20k","","","","Potentiometer_SMD:Potentiometer_Bourns_3224W_Vertical","~","C55071","BOURNS","3224W-1-203E"
"TP1,TP2,TP3,TP5,TP7,TP8,TP9","7","TP_+12V,TP_-12V,TP_CLIP_OUT,TP_GND,TP_INV_OUT,TP_OUT","","","","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~","C5199801","ronghe","RH-5001"
"U1","1","TL074","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf","C12594","TI","TL074CDR"
