Designator,Mid X,Mid Y,Rotation,Layer
C1,60.2,-131.0,90.0,bottom
C2,60.2,-141.2,90.0,bottom
C3,66.3,-131.05125,270.0,bottom
C4,66.3,-135.3375,270.0,bottom
C5,58.9,-102.4375,270.0,bottom
C6,69.25,-103.2875,270.0,bottom
D1,66.3,-127.0,90.0,bottom
D2,66.2,-142.7,90.0,bottom
D3,53.925,-130.8,0.0,bottom
D4,53.925,-142.2,0.0,bottom
D5,55.55,-106.85,90.0,bottom
D6,53.05,-106.85,270.0,bottom
J1,72.67,-134.58,180.0,bottom
J2,54.6,-56.875,180.0,top
J3,64.0,-56.875,180.0,top
J4,73.4,-56.875,180.0,top
J5,54.6,-153.145,0.0,top
J6,64.0,-153.145,0.0,top
J7,73.4,-153.145,0.0,top
R1,53.9475,-133.2,0.0,bottom
R10,63.0,-154.7,0.0,bottom
R11,74.9,-154.7,180.0,bottom
R12,75.75,-99.25,90.0,bottom
R13,75.75,-103.5,270.0,bottom
R14,68.85,-121.1,0.0,bottom
R15,53.0,-102.2,270.0,bottom
R16,68.65,-147.9,0.0,bottom
R2,53.9475,-139.8,0.0,bottom
R3,63.96,-79.79,270.0,bottom
R4,63.98,-92.84,270.0,bottom
R5,63.99,-113.09,270.0,bottom
R6,64.0,-117.5,270.0,bottom
R7,63.0,-121.25,0.0,bottom
R8,58.0,-121.25,0.0,bottom
R9,53.256532,-154.7,0.0,bottom
RV1,64.0,-72.73,270.0,top
RV2,64.0,-92.73,270.0,top
RV3,64.0,-112.73,270.0,top
RV4,54.3,-112.2,90.0,bottom
TP1,74.0,-113.0,0.0,top
TP2,74.0,-120.0,0.0,top
TP3,75.7,-91.1,0.0,top
TP5,53.2,-91.1,0.0,top
TP7,75.75,-107.5,0.0,top
TP8,53.0,-98.0,0.0,top
TP9,75.75,-95.25,0.0,top
U1,63.975,-101.81,90.0,bottom
